scientificName,latitude,longitude,id,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
"Procyon lotor (Linnaeus, 1758)",33,-106,US1NMLN0002,2290.9,NM,RUIDOSO 4.4 NW,,,PRCP,2005,2012
"Procyon lotor (Linnaeus, 1758)",43,-71,US1MAES0001,24.4,MA,SALISBURY 3.7 NW,,,PRCP,2009,2017
"Procyon lotor (Linnaeus, 1758)",26,-109,MXN00025003,9.8,,AHOME,,,TMAX,1962,2006
"Procyon lotor (Linnaeus, 1758)",34,-120,US1CASB0001,48.2,CA,GOLETA 3.7 WNW,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",29,-82,US1FLAL0047,36.6,FL,MICANOPY 2.7 ESE,,,PRCP,2014,2015
"Procyon lotor (Linnaeus, 1758)",28,-83,US1FLHB0005,15.5,FL,CITRUS PARK 1.3 ENE,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",44,-79,CA006110480,229,ON,BALDWIN,,,TMAX,2004,2021
"Procyon lotor (Linnaeus, 1758)",28,-81,US1FLBV0001,11.9,FL,PALM BAY 2.6 SSE,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",22,-101,MXM00076539,1839.5,,PONCIANO ARRIAGA INTL,,76539,TMAX,1977,2021
"Procyon lotor (Linnaeus, 1758)",44,-80,CA006110216,213,ON,ALLISTON,,,TMAX,1968,1975
"Procyon lotor (Linnaeus, 1758)",25,-103,MXN00005004,1300,,BAJIO DE AHUICHILA,,,TMAX,1976,2009
"Procyon lotor (Linnaeus, 1758)",37,-77,US1NCGT0001,21.3,NC,GATESVILLE 8.3 NNE,,,PRCP,2009,2016
"Procyon lotor (Linnaeus, 1758)",37,-122,US1CAMT0001,37.5,CA,MONTEREY 1.0 W,,,PRCP,2008,2009
"Procyon lotor (Linnaeus, 1758)",33,-117,MXN00002030,479.8,,LA PUERTA,,,TMAX,1946,2012
"Procyon lotor (Linnaeus, 1758)",21,-87,MXN00023010,4.9,,ISLA MUJERES,,,TMAX,1961,1972
"Procyon lotor (Linnaeus, 1758)",36,-85,US1TNBL0002,637,TN,PIKEVILLE 7.5 SW,,,PRCP,2008,2021
"Procyon lotor (Linnaeus, 1758)",41,-74,US1CTFR0002,256,CT,DANBURY 2.8 WNW,,,PRCP,2009,2012
"Procyon lotor (Linnaeus, 1758)",46,-123,US1ORCB0005,32.3,OR,COLUMBIA CITY 0.6 NW,,,PRCP,2008,2008
"Procyon lotor (Linnaeus, 1758)",34,-90,US1MSCR0004,124.1,MS,CARROLLTON 7.6 NNW,,,PRCP,2016,2021
"Procyon lotor (Linnaeus, 1758)",45,-123,US1ORBN0001,114,OR,CORVALLIS 2 SSW,,,PRCP,2006,2008
"Procyon lotor (Linnaeus, 1758)",39,-105,US1CODG0003,1720,CO,LOUVIERS .3 NNE,,,PRCP,1998,2005
"Procyon lotor (Linnaeus, 1758)",36,-79,US1NCAL0003,196.9,NC,BURLINGTON 0.8 NNW,,,PRCP,2008,2011
"Procyon lotor (Linnaeus, 1758)",50,-125,CA001020880,46,BC,BLACK CREEK,,,TMAX,1988,2008
"Procyon lotor (Linnaeus, 1758)",32,-107,MXN00008309,1250,,RANCHO LOS CERRITOS,,,TMAX,1980,1987
"Procyon lotor (Linnaeus, 1758)",30,-83,US1FLAL0017,22.3,FL,HIGH SPRINGS 3.2 SW,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",39,-86,US1INBR0001,256,IN,"NASHVILLE 3.3 SW",,,PRCP,2006,2009
"Procyon lotor (Linnaeus, 1758)",26,-82,US1FLCR0001,7.9,FL,NORTH NAPLES 7.3 E,,,PRCP,2007,2010
"Procyon lotor (Linnaeus, 1758)",39,-108,US1CODL0001,1759.9,CO,HOTCHKISS 1.8 NNE,,,PRCP,2002,2019
"Procyon lotor (Linnaeus, 1758)",39,-90,US1ILCT0002,141.1,IL,NEW BADEN 0.6 NE,,,PRCP,2008,2008
"Procyon lotor (Linnaeus, 1758)",38,-77,US1MDCH0011,17.1,MD,PORT TOBACCO VILLAGE 1.0 S,,,PRCP,1998,2021
"Procyon lotor (Linnaeus, 1758)",43,-72,US1MAFR0021,102.1,MA,MILLERS FALLS 0.2 SW,,,PRCP,2017,2021
"Procyon lotor (Linnaeus, 1758)",29,-98,US1TXAT0007,121.9,TX,PLEASANTON 0.3 NNW,,,PRCP,2008,2010
"Procyon lotor (Linnaeus, 1758)",31,-95,US1TXAG0001,91.1,TX,LUFKIN 7.0 W,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",38,-123,US1CAMR0001,90.2,CA,NOVATO 1.1 SSW,,,PRCP,1998,2011
"Procyon lotor (Linnaeus, 1758)",42,-72,US1CTHR0012,170.7,CT,MARLBOROUGH 1.7 W,,,PRCP,2012,2015
"Procyon lotor (Linnaeus, 1758)",37,-78,US1NCHL0002,67.4,NC,LITTLETON 4.7 NNE,,,PRCP,2011,2014
"Procyon lotor (Linnaeus, 1758)",43,-82,CA006120250,221,ON,ALVINSTON,,,PRCP,1965,1969
"Procyon lotor (Linnaeus, 1758)",21,-97,MXM00076640,28,,TUXPAN.VER.,,76640,TMAX,1975,2021
"Procyon lotor (Linnaeus, 1758)",51,12,GM000004204,155,,JENA STERNWARTE,,,TMAX,1824,2021
"Procyon lotor (Linnaeus, 1758)",43,-81,CA006130409,229,ON,AYLMER,,,TMAX,1952,1981
"Procyon lotor (Linnaeus, 1758)",30,-99,US1TXBLC003,500.5,TX,BLANCO 7.0 WNW,,,PRCP,2008,2009
"Procyon lotor (Linnaeus, 1758)",49,-124,CA001010595,85,BC,BAMBERTON OCEAN CEMENT,,,PRCP,1961,1980
"Procyon lotor (Linnaeus, 1758)",31,-110,MXN00026001,1209.8,,AGUA PRIETA,,,TMAX,1961,2011
"Procyon lotor (Linnaeus, 1758)",40,-76,US1DENC0001,106.7,DE,NEWARK 5.3 N,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",39,-82,US1OHAT0001,257.9,OH,ATHENS 1.3 N,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",50,6,GME00123226,305,,OLSDORF,,,TMAX,1952,2021
"Procyon lotor (Linnaeus, 1758)",19,-100,MXM00076675,2725.8,,TOLUCA (OBS),,76675,TMAX,1968,2021
"Procyon lotor (Linnaeus, 1758)",30,-95,US1TXBRZ013,13.7,TX,PEARLAND 2.1 ESE,,,PRCP,2009,2010
"Procyon lotor (Linnaeus, 1758)",30,-96,US1TXAS0001,57.6,TX,SEALY 1.2 NNW,,,PRCP,2009,2013
"Procyon lotor (Linnaeus, 1758)",36,-87,US1TNBF0003,224,TN,SHELBYVILLE 7.5 NW,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",27,-80,US1FLMT0001,11.9,FL,PALM CITY 4.0 SW,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",38,-78,US1VAAB0001,150,VA,CHARLOTTESVILLE 5.5 SSE,,,PRCP,2006,2009
Procyon lotor lotor,38,-78,US1VAAB0001,150,VA,CHARLOTTESVILLE 5.5 SSE,,,PRCP,2006,2009
"Procyon lotor (Linnaeus, 1758)",41,-77,US1PALY0001,180.1,PA,MUNCY 0.5 SSE,,,PRCP,2007,2008
"Procyon lotor (Linnaeus, 1758)",45,-64,CA008200180,70,NS,ASHDALE,,,TMAX,2000,2004
"Procyon lotor (Linnaeus, 1758)",44,-78,CA006150961,93,ON,BRIGHTON,,,PRCP,1948,1950
"Procyon lotor (Linnaeus, 1758)",42,-123,US1CASK0001,861.1,CA,GREENVIEW 0.7 SW,,,PRCP,2008,2010
"Procyon lotor (Linnaeus, 1758)",26,-81,US1FLCR0042,2.1,FL,CHOKOLOSKEE 0.3 ENE,,,PRCP,2017,2018
"Procyon lotor (Linnaeus, 1758)",43,-80,CA006130740,206,ON,BINBROOK,,,PRCP,1967,1970
"Procyon lotor (Linnaeus, 1758)",42,-70,US1MABA0001,12.5,MA,YARMOUTH 2.3 SSE,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",36,-84,US1TNAN0003,270.1,TN,OAK RIDGE 5.7 NE,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",32,-96,US1TXAN0002,101.8,TX,PALESTINE 7.3 ENE,,,PRCP,2008,2008
"Procyon lotor (Linnaeus, 1758)",50,-113,CA003030300,911,AB,ARMADA EXP ST,,,PRCP,1955,1963
"Procyon lotor (Linnaeus, 1758)",34,-81,US1SCAK0060,127.1,SC,WAGENER 1.4 S,,,PRCP,2014,2021
"Procyon lotor (Linnaeus, 1758)",22,-87,MXN00023009,9.8,,ISLA HOLBOX,,,TMAX,1961,1989
"Procyon lotor (Linnaeus, 1758)",10,-84,CS000084023,840,,FABIO BAUDRIT,,,PRCP,1979,1991
"Procyon lotor (Linnaeus, 1758)",40,-78,US1MDFR0035,224.9,MD,MYERSVILLE 0.8 NNW,,,PRCP,2019,2019
"Procyon lotor (Linnaeus, 1758)",36,-117,USC00042319,-59.1,CA,DEATH VALLEY NP,,HCN,TMAX,1961,2021
"Procyon lotor (Linnaeus, 1758)",35,-90,US1MSDS0001,117,MS,HERNANDO 0.6 N,,,PRCP,2008,2009
"Procyon lotor (Linnaeus, 1758)",40,-75,US1DENC0065,99.4,DE,WILMINGTON 6.7 NNE,,,PRCP,2019,2021
"Procyon lotor (Linnaeus, 1758)",26,-98,MXN00028082,27.7,,S.J. 3-48 RIO BRAVO,,,TMAX,1961,1984
"Procyon lotor (Linnaeus, 1758)",36,-81,US1NCAG0001,946.1,NC,SPARTA 3.5 SSW,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",30,-93,US1LABG0002,22.6,LA,RAGLEY 5.0 SE,,,PRCP,1998,2021
"Procyon lotor (Linnaeus, 1758)",43,-88,US1WIDD0005,307.5,WI,THERESA 3.1 SE,,,PRCP,2015,2021
"Procyon lotor (Linnaeus, 1758)",34,-117,US1CARV0002,1927.9,CA,IDYLLWILD 1.8 NW,,,PRCP,2008,2017
Procyon lotor lotor,44,-80,CA006110216,213,ON,ALLISTON,,,TMAX,1968,1975
"Procyon lotor (Linnaeus, 1758)",45,-93,US1MNAA0002,263,MN,COON RAPIDS 1.5 NNW,,,PRCP,2009,2015
"Procyon lotor (Linnaeus, 1758)",32,-81,US1GABR0002,2.1,GA,RICHMOND HILL 0.5 NE,,,PRCP,2008,2021
"Procyon lotor (Linnaeus, 1758)",44,-94,US1MNBU0002,311.2,MN,MAPLETON 3.5 N,,,PRCP,2010,2021
"Procyon lotor (Linnaeus, 1758)",38,-120,US1CACV0004,1021.7,CA,MURPHYS 2.8 ENE,,,PRCP,2008,2010
"Procyon lotor (Linnaeus, 1758)",40,-87,US1INBN0001,285.9,IN,LEBANON 3.9 WSW,,,PRCP,2006,2021
"Procyon lotor (Linnaeus, 1758)",39,-76,US1DEKN0001,9.8,DE,FELTON 3.6 NE,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",43,-73,US1MABE0001,501.1,MA,WINDSOR 3.8 NE,,,PRCP,2009,2011
"Procyon lotor (Linnaeus, 1758)",31,-86,US1ALCF0003,127.1,AL,NEW BROCKTON 4.2 NE,,,PRCP,2007,2011
"Procyon lotor (Linnaeus, 1758)",40,-124,US1CAHM0007,96.3,CA,HONEYDEW 3.1 WNW,,,PRCP,2008,2021
"Procyon lotor (Linnaeus, 1758)",39,-122,US1CABT0018,26.2,CA,GRIDLEY 0.4 NNE,,,PRCP,2013,2016
"Procyon lotor (Linnaeus, 1758)",42,-73,US1CTHR0002,65.8,CT,WEST HARTFORD 1.5 SSW,,,PRCP,2009,2010
"Procyon lotor (Linnaeus, 1758)",37,-80,US1NCRG0012,176.5,NC,EDEN 2.3 ENE,,,PRCP,2014,2021
"Procyon lotor (Linnaeus, 1758)",33,-115,MXN00002003,22.9,,BATAQUEZ,,,TMAX,1948,2003
"Procyon lotor (Linnaeus, 1758)",44,-74,US1NYES0001,578.8,NY,LAKE PLACID 1.5 N,,,PRCP,2008,2017
"Procyon lotor (Linnaeus, 1758)",42,-83,CA006130257,182,ON,AMHERSTBURG,,,TMAX,1988,2021
"Procyon lotor (Linnaeus, 1758)",35,-76,US1NCCR0065,0.9,NC,DAVIS 0.5 SW,,,PRCP,2013,2019
"Procyon lotor (Linnaeus, 1758)",32,-86,US1ALAT0002,106.1,AL,PRATTVILLE 1.1 NNE,,,PRCP,2000,2012
"Procyon lotor (Linnaeus, 1758)",41,-112,US1UTBE0009,1368.9,UT,PERRY 0.6 S,,,PRCP,2010,2021
"Procyon lotor (Linnaeus, 1758)",22,-100,MXM00076581,983,,RIO VERDE  S.L.P.,,76581,TMAX,1977,2021
"Procyon lotor (Linnaeus, 1758)",31,-89,US1MSFR0001,57.9,MS,HATTIESBURG 0.7 NNW,,,PRCP,2008,2021
"Procyon lotor (Linnaeus, 1758)",33,-98,US1TXCLY002,344.1,TX,WINDTHORST 7.1 SSE,,,PRCP,2009,2010
"Procyon lotor (Linnaeus, 1758)",44,-72,US1NHBK0005,202.4,NH,NEW HAMPTON 5.3 NE,,,PRCP,2010,2013
"Procyon lotor (Linnaeus, 1758)",9,-83,CS000098002,15,,PALMAR SUR,,78772,TMAX,1984,1992
"Procyon lotor (Linnaeus, 1758)",20,-87,MXN00023025,9.8,,TULUM,,,TMAX,1964,2012
"Procyon lotor (Linnaeus, 1758)",28,-97,US1TXAR0003,11,TX,ROCKPORT 2.1 NNW,,,PRCP,2007,2020
"Procyon lotor (Linnaeus, 1758)",45,-74,CA006101958,69,ON,DALHOUSIE MILLS,,,TMAX,1968,2004
"Procyon lotor (Linnaeus, 1758)",36,-92,US1ARBX0002,230.1,AR,MOUNTAIN HOME 5.8 NE,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",35,-107,US1NMBR0002,1517.9,NM,ALBUQUERQUE 3.3 WNW,,,PRCP,2005,2021
"Procyon lotor (Linnaeus, 1758)",39,-96,US1KSJA0001,365.8,KS,MAYETTA 5.5 WSW,,,PRCP,2011,2021
"Procyon lotor (Linnaeus, 1758)",44,-73,US1NYES0007,160.9,NY,KEESEVILLE 0.8 SE,,,PRCP,2015,2021
"Procyon lotor (Linnaeus, 1758)",28,-101,MXN00005001,369.7,,AGUA NUEVA,,,TMAX,1944,1969
"Procyon lotor (Linnaeus, 1758)",30,-84,US1FLJF0003,10.1,FL,WACISSA 1.1 SW,,,PRCP,2008,2019
"Procyon lotor (Linnaeus, 1758)",40,-84,US1OHAZ0004,275.8,OH,NEW KNOXVILLE 0.2 SE,,,PRCP,2011,2013
"Procyon lotor (Linnaeus, 1758)",30,-89,US1MSHC0002,3.7,MS,DIAMONDHEAD 0.6 WNW,,,PRCP,2008,2015
"Procyon lotor (Linnaeus, 1758)",31,-97,US1TXBEL001,158.5,TX,TEMPLE 8.5 SE,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",41,-80,US1PAAL0012,324,PA,SOUTH HEIGHTS 1.5 S,,,PRCP,2008,2010
"Procyon lotor (Linnaeus, 1758)",35,-82,US1NCBC0041,694.6,NC,ARDEN 1.6 ENE,,,PRCP,2010,2021
"Procyon lotor (Linnaeus, 1758)",37,-94,US1MOBR0002,301.1,MO,LAMAR 6.1 SW,,,PRCP,2007,2009
"Procyon lotor (Linnaeus, 1758)",31,-91,US1LAEB0006,28,LA,ZACHARY 5.5 ESE,,,PRCP,2008,2010
"Procyon lotor (Linnaeus, 1758)",40,-82,US1OHCC0001,257.6,OH,COSHOCTON 5.5 WSW,,,PRCP,2010,2021
"Procyon lotor (Linnaeus, 1758)",40,-105,US1COAD0001,1576.1,CO,DIA 6.5 NNE,,,PRCP,2001,2003
"Procyon lotor (Linnaeus, 1758)",36,-83,US1NCBC0001,777.2,NC,ASHEVILLE 5.6 NNW,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",42,-81,US1OHAB0002,191.1,OH,ASHTABULA 1.6 WNW,,,PRCP,2009,2011
"Procyon lotor (Linnaeus, 1758)",32,-95,US1TXAN0003,114.3,TX,PALESTINE 11.7 ENE,,,PRCP,2008,2010
"Procyon lotor (Linnaeus, 1758)",43,-89,US1WICB0001,262.1,WI,COLUMBUS 1.2 S,,,PRCP,2006,2021
"Procyon lotor (Linnaeus, 1758)",32,-100,US1TXCKE001,570.3,TX,ROBERT LEE 0.5 NNE,,,PRCP,2009,2014
"Procyon lotor (Linnaeus, 1758)",32,-111,US1AZAP0002,748.9,AZ,TUCSON 9.9 NNW,,,PRCP,2010,2017
"Procyon lotor (Linnaeus, 1758)",32,-110,US1AZCH0003,1407,AZ,SIERRA VISTA 0.4 ESE,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",39,-89,US1ILBD0003,167.3,IL,MULBERRY GROVE 0.3 NNW,,,PRCP,2013,2016
"Procyon lotor (Linnaeus, 1758)",36,-97,US1OKCK0008,273.4,OK,DRUMRIGHT 0.6 SW,,,PRCP,2012,2021
"Procyon lotor (Linnaeus, 1758)",34,-99,US1OKCT0001,339.9,OK,COOKIETOWN 6.3 NNW,,,PRCP,2008,2013
"Procyon lotor (Linnaeus, 1758)",27,-81,US1FLGL0002,4,FL,MOORE HAVEN 12.2 WSW,,,PRCP,2009,2018
"Procyon lotor (Linnaeus, 1758)",43,-123,US1ORDG0001,324.9,OR,MYRTLE CREEK 1.8 NNE,,,PRCP,2007,2009
"Procyon lotor (Linnaeus, 1758)",40,-83,US1OHDL0002,274.6,OH,WESTERVILLE 4.0 N,,,PRCP,2009,2015
"Procyon lotor (Linnaeus, 1758)",22,-98,MXM00076548,25,,TAMPICO  TAMPS,,76548,TMAX,1976,2021
"Procyon lotor (Linnaeus, 1758)",32,-98,US1TXBSQ002,234.7,TX,KOPPERL 5.2 WNW,,,PRCP,2013,2021
