STID,Station Name,State,TimeZone,DayTimeSaving,Latitude,Longitude,Elevation
K9V9,Chamberlain Municipal Airport,SD,C,y,43.8,-99.32,1738.84
K9W7,Currituck,NC,E,y,36.3989,-76.0161,
KAAA,Logan County Airport,IL,C,y,40.16,-89.33,583.99
KAAF,Apalachicola,FL,E,y,29.728,-85.027,20.013
KAAO,Wichita Colonel James Jabara Airport,KS,C,y,37.75,-97.22,1420.6
KAAT,Alturas (was O00),CA,P,y,41.491,-120.564,4399.61
KABE,Allentown Lehigh Valley International Airport,PA,E,y,40.66,-75.43,390.092
KABH,Ellicott/USAF Academy Bullseye Auxiliary Airstrip,CO,M,y,38.7578,-104.308,6037
KABI,Abilene Regional Airport,TX,C,y,32.43,-99.68,1790.03
KABQ,Albuquerque Intl Airport,NM,M,y,35.05,-106.62,5310.04
KABR,Aberdeen Regional Airport,SD,C,y,45.46,-98.43,1306.1
KABY,Albany, Southwest Georgia Regional Airport,GA,E,y,31.54,-84.18,189.961
KACB,Bellaire, Antrim County Airport,MI,E,y,44.99,-85.2,623.36
KACK,Nantucket Memorial Airport,MA,E,y,41.26,-70.07,44.948
KACP,Allen Parish Airport,LA,C,y,30.7506,-92.6886,
KACQ,Waseca Muni Airport,MN,C,y,44.07,-93.55,1125.33
KACT,Waco Regional Airport,TX,C,y,31.62,-97.22,577.1
KACV,Arcata/Eureka Airport,CA,P,y,40.98,-124.1,203.084
KACY,Atlantic City International Airport,NJ,E,y,39.46,-74.57,60.039
KADC,Wadena Municipal Airport,MN,C,y,46.447,-95.212,1371.39
KADG,Adrian, Lenawee County Airport,MI,E,y,41.87,-84.07,800.525
KADH,Ada Municipal Airport,OK,C,y,34.804,-96.671,1017.06
KADM,Ardmore Municipal,OK,C,y,34.3,-97.02,761.155
KADS,Dallas / Addison Airport,TX,C,y,32.98,-96.83,643.045
KADU,Audubon County Airport,IA,C,y,41.7,-94.92,1286.09
KADW,Camp Springs / Andrews Air Force Base,MD,E,y,38.83,-76.87,282.152
KAEG,Double Eagle II Apt,NM,M,y,35.15,-106.8,5836.61
KAEJ,Central Colorado Regional Airport,CO,M,y,38.8142,-106.121,7946
KAEL,Albert Lea Automatic Weather Observing / Reporting,MN,C,y,43.69,-93.37,1256.56
KAEX,Alexandria International Airport,LA,C,y,31.33,-92.55,88.911
KAFF,Air Force Academy,CO,M,y,38.98,-104.82,6571.85
KAFJ,Washington Automatic Weather Observing / Reporting,PA,E,y,40.14,-80.29,1184.38
KAFK,Nebraska City Municipal Airport,NE,C,y,40.6,-95.87,1161.42
KAFN,Jaffrey Municipal-Silver Ranch Airport,NH,E,y,42.8,-72,1040.03
KAFW,Fort Worth Alliance Airport,TX,C,y,32.98,-97.32,741.47
KAGC,Pittsburgh, Allegheny County Airport,PA,E,y,40.36,-79.94,1248.03
KAGS,Augusta, Bush Field,GA,E,y,33.38,-81.97,131.89
KAHN,Athens Airport,GA,E,y,33.96,-83.32,799.869
KAHQ,Wahoo Municipal Airport,NE,C,y,41.2406,-96.5946,1224
KAIA,Alliance Municipal Airport,NE,M,y,42.05,-102.8,3930.45
KAIB,Hopkins Field Airport,CO,M,y,38.2388,-108.563,5940
KAID,Anderson Municipal,IN,E,y,40.12,-85.62,918.635
KAIG,Antigo - Lang Automatic Weather Observing / Report,WI,C,y,45.01,-89.13,1522.31
KAIO,Atlantic,IA,C,y,41.4,-95.05,1181.1
KAIT,Aitkin NDB Automatic Weather Observing / Reporting,MN,C,y,46.55,-93.69,1204.07
KAIZ,Kaiser Memorial Automatic Weather Observing,MO,C,y,38.11,-92.55,869.423
KAJG,Mount Carmel Municipal Airport,IL,C,Y,38.607,-87.727,429.79
KAJO,Corona Airport,CA,P,y,33.87,-117.57,163
KAJZ,Blake Field Airport,CO,M,y,38.7864,-108.064,5193
KAKH,Gastonia Municipal Airport,NC,E,y,35.2,-81.15,797.244
KAKO,Akron/Washington Co,CO,M,y,40.17,-103.22,4662.07
KAKQ,Wakefield Municipal Airport,VA,E,y,36.99,-77,209.974
KAKR,Akron Fulton International Airport,OH,E,y,41.033,-81.467,1043.96
KALB,Albany International Airport,NY,E,y,42.76,-73.8,291.995
KALI,Alice International Airport,TX,C,y,27.74,-98.04,172.9
KALM,Alamogordo-White,NM,M,y,32.84,-105.99,4307.74
KALN,Alton / St. Louis Regional,IL,C,y,38.91,-90.05,557.743
KALO,Waterloo Municipal Airport,IA,C,y,42.55,-92.4,865.157
KALS,Alamosa Muni(awos),CO,M,y,37.46,-105.87,7539.04
KALW,Walla Walla Rgn,WA,P,y,46.09,-118.29,1147.97
KALX,Alexander City/T.C. Russell Field,AL,C,y,32.915,-85.963,685.696
KAMA,Rick Husband Amarillo Intl Airport,TX,C,y,35.23,-101.7,3585.96
KAMG,Alma, Bacon County Airport,GA,E,y,31.54,-82.5,206.037
KAMN,Alma, Gratiot Community Airport,MI,E,y,43.32,-84.69,754.593
KAMW,Ames Municipal Airport,IA,C,y,41.99,-93.62,954.724
KAMX,Miami Nexrad,FL,E,y,25.617,-80.417,111.549
KANB,Anniston Metropolitan Airport,AL,C,y,33.59,-85.85,610.892
KAND,Anderson County Airport,SC,E,y,34.51,-82.72,759.843
KANE,Minneapolis / Blaine,MN,C,y,45.16,-93.22,912.073
KANJ,Sault Ste. Marie,MI,E,y,46.485,-84.366,717.848
KANK,Salida/Harriet Alexander Field,CO,M,y,38.5383,-106.049,7523
KANW,Ainsworth Municipal,NE,C,y,42.59,-99.99,2588.58
KAOH,Lima Allen County Airport,OH,E,y,40.71,-84.03,971.129
KAOO,Altoona-Blair County Airport,PA,E,y,40.3,-78.32,1479.99
KAPA,Denver/Centennial,CO,M,y,39.57,-104.85,5882.55
KAPC,Napa Co. Airport,CA,P,y,38.21,-122.28,32.808
KAPF,Naples Municipal,FL,E,y,26.15,-81.77,9.843
KAPG,Phillips Army Air Field / Aberdeen,MD,E,y,39.47,-76.17,59.055
KAPN,Alpena County Regional Airport,MI,E,y,45.08,-83.57,688.976
KAPY,Zapata County Airport,TX,C,Y,26.9688,-99.2489,422
KAQO,Llano Municipal Airport,TX,C,y,30.7837,-98.662,1102
KAQP,Appleton Municipal Airport,MN,C,y,45.23,-96,1017.06
KAQR,Atoka Municipal Airport,OK,C,y,34.4,-96.15,589.895
KAQV,Ft. Polk/Peason Ridge,LA,C,y,31.4,-93.283,364.173
KAQW,North Adams, Harriman-And-West Airport,MA,E,y,42.71,-73.17,659.449
KARA,New Iberia, Acadiana Regional Airport,LA,C,y,30.03,-91.88,25.919
KARB,Ann Arbor Municipal Airport,MI,E,y,42.22,-83.75,839.895
KARG,Walnut Ridge Automatic Weather Observing / Report,AR,C,y,36.1255,-90.9216,272.31
KARL,Arlington,WY,M,y,41.583,-106.2,7834.65
KARM,Wharton Regional Airport,TX,C,y,29.25,-96.117,101.706
KARR,Aurora Municipal Airport,IL,C,y,41.77,-88.47,705.381
KART,Watertown International Airport,NY,E,y,44.01,-76.02,317.913
KARV,Minocqua / Woodruff,WI,C,y,45.93,-89.73,1627.3
KASD,Slidell Airport,LA,C,y,30.35,-89.82,26.247
KASE,Aspen/Sardy Field,CO,M,y,39.22,-106.87,8018.37
KASG,Springdale Municipal,AR,C,y,36.19,-94.12,1351.71
KASH,Nashua / Boire Field,NH,E,y,42.79,-71.52,200.131
KASJ,Ahoskie, Tri-County Airport,NC,E,y,36.3,-77.17,68.898
KASL,Marshall, TX,TX,C,y,32.52,-94.31,357
KAST,Astoria/Clatsop,OR,P,y,46.16,-123.88,9.843
KASW,Warsaw Municipal Airport,IN,E,y,41.275,-85.84,849.738
KASX,Ashland, Kennedy Memorial Airport,WI,C,y,46.55,-90.92,823.491
KATL,Hartsfield-Jackson/Atlanta International Airport,GA,E,y,33.66,-84.42,1009.84
KATS,Artesia Municipal Airport,NM,M,y,32.85,-104.47,3540.03
KATT,Camp Mabry / Austin City,TX,C,y,30.32,-97.77,621.063
KATW,Appleton / Outagamie,WI,C,y,44.26,-88.52,918.635
KATY,Watertown Municipal Airport,SD,C,y,44.92,-97.16,1746.06
KAUG,Augusta State Airport,ME,E,y,44.32,-69.8,350.066
KAUH,Aurora Municipal Airport,NE,C,y,40.88,-98,1797.9
KAUM,Austin Municipal,MN,C,y,43.67,-92.94,1230.31
KAUN,Auburn Muni Airport,CA,P,y,38.955,-121.082,1532.15
KAUO,Auburn-Opelika Airport,AL,C,y,32.62,-85.44,774.278
KAUS,Austin-Bergstrom International Airport,TX,C,y,30.2,-97.68,662.73
KAUW,Wausau Downtown Airport,WI,C,y,44.93,-89.62,1200.13
KAVC,South Hill, Mecklenburg-Brunswick Regional Airport,VA,E,y,36.69,-78.05,1410.76
KAVK,Alva Regional Airport,OK,C,y,36.77,-98.67,1473.1
KAVL,Asheville Regional Airport,NC,E,y,35.44,-82.55,2140.09
KAVP,Wilkes-Barre / Scranton Intl Airport,PA,E,y,41.33,-75.73,930.118
KAVX,Avalon, Catalina Airport,CA,P,y,33.41,-118.42,1575.13
KAWG,Washington,IA,C,y,41.28,-91.67,754.593
KAWH,Wildhorse Res/Elko,NV,P,y,41.67,-115.79,6240.16
KAWM,West Memphis,AR,C,y,35.135,-90.234,209.974
KAWO,Arlington Muni,WA,P,y,48.17,-122.17,137.795
KAXA,Algona,IA,C,y,43.08,-94.27,1220.47
KAXN,Alexandria, Chandler Field,MN,C,y,45.87,-95.41,1419.95
KAXS,Altus/Quartz Mountain Regional Airport,OK,C,y,34.7,-99.333,1433.73
KAXX,Angel Fire Airport,NM,M,y,36.42,-105.29,8380
KAYS,Waycross / Ware County,GA,E,y,31.25,-82.4,140.092
KAZO,Kalamazoo / Battle Creek International,MI,E,y,42.24,-85.55,895.669
KB23,Battle Mountain,NV,P,y,40.61,-116.87,4540.03
KBAB,Beale AFB/Marysville,CA,P,y,39.14,-121.44,125
KBAD,Barksdale Air Force Base,LA,C,y,32.5,-93.683,166.995
KBAF,Westfield, Barnes Municipal Airport,MA,E,y,42.16,-72.72,270.997
KBAK,Columbus / Bakalar,IN,E,y,39.26,-85.88,655.84
KBAX,Bad Axe, Huron County Memorial Airport,MI,E,y,43.79,-82.99,767.717
KBAZ,New Braunfels Municipal Airport,TX,C,y,29.709,-98.045,646.325
KBBB,Benson Municipal,MN,C,y,45.32,-95.65,1040.03
KBBD,Curtis Field Airport,TX,C,y,31.183,-99.317,1827.43
KBBG,Branson Airport,MO,C,Y,36.5321,-93.2005,1303
KBBP,Marlboro County Jetport - H.E. Avent Field,NC,E,Y,34.6217,-79.7344,147
KBBW,Broken Bow Municipal Airport,NE,C,y,41.44,-99.66,2545.93
KBCB,Virginia Tech Airport,VA,E,y,37.208,-80.408,2132.55
KBCE,Bryce Canyon,UT,M,y,37.71,-112.16,7586.94
KBCK,Black River Falls Area Airport,WI,C,y,44.2507,-90.8553,836
KBCT,Boca Raton Airport,FL,E,y,26.38,-80.1,13.123
KBDE,Baudette International Airport,MN,C,y,48.73,-94.6,1082.02
KBDH,Willmar Municipal Airport,MN,C,y,45.12,-95.13,1131.89
KBDL,Windsor Locks, Bradley International Airport,CT,E,y,41.94,-72.68,160.105
KBDR,Bridgeport/Igor|Sikorsky Memorial,CT,E,y,41.18,-73.13,13.123
KBDU,Boulder Municipal Airport,CO,M,y,40.039,-105.226,5288
KBEA,Beeville Municipal Airport,TX,C,y,28.3619,-97.791,268
KBED,Bedford, Hanscom Field,MA,E,y,42.47,-71.29,132.874
KBEH,Benton Harbor, Southwest Michigan Regional Airport,MI,E,y,42.14,-86.44,643.045
KBFD,Bradford Regional Airport,PA,E,y,41.8,-78.64,2117.13
KBFF,Scottsbluff, Heilig Field,NE,M,y,41.88,-103.6,3953.08
KBFI,Seattle/Boeing Fld,WA,P,y,47.54,-122.3,29.856
KBFL,Bakersfield/Meadows,CA,P,y,35.43,-119.05,492.126
KBFM,Mobile Downtown Airport,AL,C,y,30.64,-88.07,25.919
KBFU,Belle Fourche,WY,M,y,43.93,-105.44,
KBFW,Silver Bay,MN,C,y,47.21,-91.41,1085.96
KBGD,Borger, Hutchinson County Airport,TX,C,y,35.71,-101.4,3054.46
KBGE,Bainbridge,GA,E,y,30.97,-84.63,141.076
KBGM,Binghamton Regional Airport,NY,E,y,42.23,-75.98,1600.07
KBGR,Bangor International Airport,ME,E,y,44.81,-68.83,149.934
KBHB,Bar Harbor Automatic Weather Observing / Reporting,ME,E,y,44.46,-68.37,85.302
KBHK,Baker,MT,M,y,46.333,-104.25,2959.32
KBHM,Birmingham International Airport,AL,C,y,33.56,-86.75,629.921
KBID,Block Island Automatic Weather Observing / Report,RI,E,y,41.18,-71.58,108.268
KBIE,Beatrice Municipal,NE,C,y,40.3,-96.75,1322.18
KBIH,Bishop Airport,CA,P,y,37.37,-118.37,4146.98
KBIJ,Early County Airport,GA,E,y,31.3969,-84.895,
KBIL,Billings/Logan Intl Airport,MT,M,y,45.8,-108.53,3585.96
KBIS,Bismarck Municipal Airport,ND,C,y,46.78,-100.75,1683.07
KBIT,Bittercreek,WY,M,y,41.64,-108.58,
KBIV,West Michigan Regional Airport,MI,E,y,42.75,-86.1,688.976
KBIX,Keesler Air Force Base / Biloxi,MS,C,y,30.417,-88.917,25.919
KBJC,Broomfield/Rocky Mtn Metro Airport,CO,M,y,39.91,-105.12,5656.17
KBJI,Bemidji,MN,C,y,47.51,-94.93,1377.95
KBJJ,Wooster, Wayne County Airport,OH,E,y,40.87,-81.89,1135.17
KBJN,Tonopah Range #74 Nellis AFB,NV,P,y,37.617,-116.25,5761.15
KBKB,Ft. Polk/Fullerton Landing,LA,C,y,31,-92.967,308.399
KBKD,Stephens County Airport,TX,C,y,32.719,-98.891,1284
KBKE,Baker Municipal,OR,P,y,44.84,-117.82,3368.11
KBKF,Buckley AFB/Aurora,CO,M,y,39.702,-104.75,5570.87
KBKL,Cleveland/Burke Lakefront,OH,E,y,41.52,-81.68,597.113
KBKN,Blackwell-Tonkawa Municipal Airport,OK,C,Y,36.7451,-97.3496,1030
KBKS,Brooks County Airport,TX,C,y,27.207,-98.121,111.549
KBKV,Brooksville, Hernando County Airport,FL,E,y,28.47,-82.45,75.459
KBKW,Beckley, Raleigh County Memorial Airport,WV,E,y,37.79,-81.12,2503.94
KBKX,Brookings Automatic Weather Observing / Reporting,SD,C,y,44.3,-96.8,1646.98
KBLF,Bluefield, Mercer County Airport,WV,E,y,37.3,-81.22,2857.61
KBLH,Blythe Airport,CA,P,y,33.62,-114.72,390.092
KBLI,Bellingham Intl Airport,WA,P,y,48.79,-122.54,148.95
KBLM,Belmar-Farmingdale,NJ,E,y,40.18,-74.13,84.974
KBLU,Blue Canyon (amos),CA,P,y,39.29,-120.7,5279.86
KBLV,Scott Air Force Base / Belleville,IL,C,y,38.55,-89.85,442.913
KBMG,Bloomington, Monroe County Airport,IN,E,y,39.14,-86.62,866.142
KBMI,Bloomington / Normal,IL,C,y,40.48,-88.93,892.388
KBML,Berlin Municipal Airport,NH,E,y,44.59,-71.18,1158.14
KBMQ,Burnet Municipal Craddock Field,TX,C,y,30.74,-98.23,1282.81
KBNA,Nashville International Airport,TN,C,y,36.12,-86.68,581.037
KBNO,Burns Muni (amos),OR,P,y,43.58,-118.95,4169.95
KBNW,Boone Municipal,IA,C,y,42.05,-93.85,1161.42
KBNY,Burney,CA,P,y,40.883,-121.667,3158.14
KBOI,Boise Municipal,ID,M,y,43.58,-116.22,2707.02
KBOK,Brookings Airport,OR,P,y,42.083,-124.283,459.318
KBOS,Boston, Logan International Airport,MA,E,y,42.38,-71.03,20.013
KBOW,Bartow Municipal,FL,E,y,27.95,-81.78,127.953
KBPC,Mesa Vista Ranch Airport,TX,C,Y,35.8893,-101.03,2772
KBPG,Big Spring,TX,C,y,32.213,-101.522,2572.18
KBPI,Big Piney/Marbleton Airport,WY,M,y,42.58,-110.1,6968.5
KBPK,Mountain Home, Ozark Regional Airport,AR,C,y,36.37,-92.47,928.478
KBPP,Bowman Municipal Airport,ND,C,y,46.1869,-103.428,
KBPT,Beaumont/Port Arthur, SE Texas Regional Airport,TX,C,y,29.95,-94.02,16.076
KBQK,Brunswick / Glynco,GA,E,y,31.15,-81.38,26.247
KBQP,Morehouse Memorial Airport,LA,C,y,32.7561,-91.8806,168
KBRD,Brainerd-Crow Wing County Regional Airport,MN,C,y,46.4,-94.13,1227.03
KBRL,Burlington Regional Airport,IA,C,y,40.79,-91.12,691.929
KBRO,Brownsville / South Padre Island Intl Airport,TX,C,y,25.9,-97.43,19.029
KBRX,Anonymous Wy Ob,WY,M,y,41.933,-104.55,4950.79
KBTA,Blair Municipal Airport,NE,C,y,41.4148,-96.109,1325
KBTL,Battle Creek, Kellogg Airport,MI,E,y,42.3,-85.25,938.976
KBTM,Butte/Bert Mooney,MT,M,y,45.96,-112.5,5540.03
KBTP,Butler County Automatic Weather Observing / Report,PA,E,y,40.79,-79.95,1246.72
KBTR,Baton Rouge Metropolitan, Ryan Field,LA,C,y,30.54,-91.15,59.055
KBTV,Burlington International Airport,VT,E,y,44.48,-73.15,348.097
KBUF,Greater Buffalo International Airport,NY,E,y,42.94,-78.73,711.942
KBUR,Burbank/Glendale,CA,P,y,34.2,-118.36,725.066
KBUU,Burlington Municipal Airport,WI,C,y,42.691,-88.305,777.559
KBUY,Burlington Alamance Regional Airport,NC,E,y,36.05,-79.47,616.798
KBVE,Boothville,LA,C,y,29.333,-89.4,15.092
KBVI,Beaver Falls Airport,PA,E,y,40.76,-80.33,1253.28
KBVN,Albion Municipal Airport,NE,C,y,41.733,-98.05,1807.74
KBVO,Bartlesville Municipal Airport,OK,C,y,36.76,-96.01,715.223
KBVR,Beaver Rim,WY,M,y,42.58,-108.28,
KBVS,Skagit Regional Airport,WA,P,y,48.467,-122.417,144.357
KBVX,Batesville Automatic Weather Observing / Reporting,AR,C,y,35.73,-91.65,462.598
KBVY,Beverly Municipal Airport,MA,E,y,42.59,-70.92,111.549
KBWD,Brownwood,TX,C,y,31.8,-98.95,1384.51
KBWG,Bowling Green-Warren County Regional Airport,KY,C,y,36.96,-86.42,527.887
KBWI,Baltimore-Washington International Airport,MD,E,y,39.19,-76.67,147.966
KBWP,Harry Stern Airport,ND,C,y,46.233,-96.6,967.848
KBYG,Buffalo/Johnson County,WY,M,y,44.38,-106.72,4967.19
KBYH,Eaker Air Force Base,AR,C,y,35.967,-89.95,262.139
KBYI,Burley Municipal,ID,M,y,42.54,-113.77,4157.15
KBYY,Bay City,TX,C,y,28.973,-95.863,45.932
KBZN,Bozeman/Gallatin,MT,M,y,45.79,-111.15,4426.84
KC09,Morris Muni-James R Washburn Field Airport,IL,C,y,41.43,-88.42,583.99
KC29,Middleton Municipal - Morey Field Airport,WI,E,Y,43.1143,-89.5315,928
KC75,Lacon,IL,C,y,41.02,-89.39,567.585
KCAD,Cadillac / Wexford County,MI,E,y,44.29,-85.42,1299.87
KCAE,Columbia Metropolitan Airport,SC,E,y,33.96,-81.12,212.927
KCAG,Craig-Moffat(amos),CO,M,y,40.51,-107.53,6282.81
KCAK,Akron-Canton Regional Airport,OH,E,y,40.93,-81.43,1208.01
KCAO,Clayton Muni(amos),NM,M,y,36.46,-103.15,4959.97
KCAR,Caribou Municipal Airport,ME,E,y,46.88,-68.02,624.016
KCAV,Clarion,IA,C,y,42.75,-93.77,1161.42
KCBE,Greater Cumberland Regional Airport,MD,E,y,39.617,-78.767,774.278
KCBF,Council Bluffs,IA,C,y,41.27,-95.77,1253.28
KCBG,Cambridge Municipal,MN,C,y,45.57,-93.27,941.601
KCBM,Columbus Air Force Base,MS,C,y,33.633,-88.45,209.974
KCCA,Clinton Municipal Airport,AR,C,y,35.598,-92.352,514
KCCO,Newnan Coweta County Airport,GA,E,y,33.31,-84.77,971.129
KCCR,Concord/Buchanan,CA,P,y,37.98,-122.05,22.966
KCCU,Copper Mountain (12,400 feet),CO,M,y,39.475,-106.153,12073.5
KCCY,Charles City,IA,C,y,43.07,-92.62,1125.33
KCDA,Caledonia County Airport,VT,E,y,44.5691,-72.018,1188
KCDC,Cedar City Regional Airport,UT,M,y,37.7,-113.1,5586.94
KCDD,Crane Lake, Scotts Seaplane Base,MN,C,y,48.27,-92.57,1148.29
KCDH,Harrell Field Airport,AR,C,y,33.623,-92.763,130
KCDJ,Chillicothe Agri-Science Center,MO,C,y,39.82,-93.58,767.717
KCDR,Chadron Municipal Airport,NE,M,y,42.84,-103.08,3317.91
KCDS,Childress Municipal Airport,TX,C,y,34.44,-100.28,1951.11
KCDW,Caldwell, Essex County Airport,NJ,E,y,40.88,-74.28,173.885
KCEC,Crescent City,CA,P,y,41.79,-124.24,56.102
KCEF,Chicopee Falls / Westover Air Force Base,MA,E,y,42.21,-72.53,246.063
KCEU,Clemson-Oconee County Airport,SC,E,y,34.667,-82.867,889.108
KCEW,Crestview, Sikes Airport,FL,C,y,30.79,-86.52,189.961
KCEZ,Cortez/Montezuma Co,CO,M,y,37.3,-108.63,5915.35
KCFE,Buffalo Municipal Airport,MN,C,y,45.159,-93.843,967
KCFS,Caro,MI,E,y,43.459,-83.445,702.1
KCFV,Coffeyville Municipal Airport,KS,C,y,37.08,-95.57,754.593
KCGE,Cambridge-Dorchester Airport,MD,E,y,38.5393,-76.0304,20
KCGF,Cleveland / Cuyahoga,OH,E,y,41.58,-81.48,902.231
KCGI,Cape Girardeau Regional Airport,MO,C,y,37.23,-89.58,336.942
KCGS,College Park Airport,MD,E,y,0,0,
KCGZ,Casa Grande (awos),AZ,M,n,32.96,-111.77,1463.26
KCHA,Chattanooga, Lovell Field,TN,E,y,35.04,-85.2,688.976
KCHD,Chandler Municipal Airport,AZ,M,n,33.27,-111.81,1243.44
KCHH,Chatham,MA,E,y,41.667,-69.967,52.493
KCHK,Chickasha Municipal Airport,OK,C,y,35.1,-97.97,1151.57
KCHO,Charlottesville-Albemarle Airport,VA,E,y,38.14,-78.45,623.031
KCHS,Charleston Air Force Base,SC,E,y,32.91,-80.03,59.055
KCIC,Chico Municipal,CA,P,y,39.79,-121.85,239.501
KCID,Cedar Rapids, The Eastern Iowa Airport,IA,C,y,41.89,-91.7,839.895
KCIN,Carroll,IA,C,y,42.05,-94.78,1230.31
KCIR,Cairo Regional Airport,IL,C,y,37.067,-89.217,351.05
KCIU,Chippewa International Automatic Weather Observing,MI,E,y,46.26,-84.47,820.21
KCJR,Culpeper County Airport,VA,E,y,38.53,-77.86,311.68
